,id,Metacyc_ID,SMILES,KEGG_ID
138,138,CPD-12993,COCC(=O)O,
139,139,3-HYDROXY-PROPIONATE,O=C(O)CCO,C00954
140,140,D-LACTATE,CC(O)C(=O)O,C00180
141,141,L-GLYCERALDEHYDE,O=CC(O)CO,C00545
142,142,DIHYDROXYACETONE,O=C(CO)CO,C00178
143,143,CPD-19002,CC(=O)OCO,
144,144,CPD-19065,CC(=O)C(O)O,
145,145,CPD-12004,CC(O)C(C)O,C02855
146,146,CPD-23748,CC(O)CCO,C19699
147,147,BUTYL-HYDROPEROXIDE,CC(C)(C)OO,
148,148,CPD-13560,OCCCCO,
149,149,CPD-19013,CC(C)(O)CO,C21167
150,150,CPD-12010,CCC(O)CO,
151,151,GLYCEROL,OCC(O)CO,C00112
152,152,CPD-21703,OCCC(O)O,
153,153,TOLUENE,Cc1ccccc1,C01348
154,154,CPD-22423,C1=CC2C=CC1C2,
155,155,PHENOL,Oc1ccccc1,C00140
156,156,CPD-10640,C=C1C=CC(=O)O1,C06770
157,157,CPD-22669,O=C1C=CC=C1O,
158,158,CPD0-2357,O=Cc1ccco1,C13900
159,159,CPD-11706,O=c1cccco1,
160,160,CPD-282,O=C1C=CCCC1,C02227
161,161,CPD-21221,CC(=O)C=CC=O,
162,162,CPD-21183,CC(C=O)=CC=O,
163,163,CPD-14102,OCc1ccco1,C20349
164,164,CPD-15228,C=C1CCOC1=O,C20479
165,165,CPD-10095,C1CCC2OC2C1,
166,166,CIS-3-HEXENAL,CCC=CCC=O,C15817
167,167,CYCLOHEXANONE,O=C1CCCCC1,C00395
168,168,TRANS-2-HEXENAL,CCCC=CC=O,C08230
169,169,CPD-25461,CC1CCCC1=O,
170,170,CPD-23639,OC1C=CCCC1,
171,171,CPD-13222,CC=CC(=O)CC,
172,172,2-OXOBUT-3-ENANOATE,C=CC(=O)C(=O)O,
173,173,CPD-20689,CC=CCC(=O)O,
174,174,CPD-7077,CC=C(C)C(=O)O,C07866
175,175,CPD-22308,CC1CCC(=O)O1,
176,176,CPD-9052,O=CCCCC=O,C12216
177,177,CPD-4482,CC(=CC=O)CO,
178,178,CPD-8879,CC(=O)CC(C)=O,C15221
179,179,23-PENTANEDIONE,CCC(=O)C(C)=O,
180,180,5-VALEROLACTONE,O=C1CCCCO1,C02088
181,181,HEXANAL,CCCCCC=O,
182,182,CPD-19036,CCCCC1CO1,
183,183,CPD-13223,CCCC(=O)CC,
184,184,CPD-25462,CCC(C)C(C)=O,
185,185,CIS-3-HEXENOL,CCC=CCCO,C08211
186,186,4-METHYLPENTANAL,CC(C)CCC=O,C02210
187,187,CYCLOHEXANOL,OC1CCCCC1,C00811
188,188,TRANS-2-HEXENOL,CCCC=CCO,
189,189,CPD-9286,CCCCCCC,
190,190,KETOPYRUVATE,O=CC(=O)C(=O)O,
191,191,SUCC-S-ALD,O=CCCC(=O)O,C00223
192,192,2-OXOBUTANOATE,CCC(=O)C(=O)O,C00106
193,193,CPD-12177,CC(C=O)C(=O)O,C00333
194,194,3-KETOBUTYRATE,CC(=O)CC(=O)O,C00159
195,195,VALERATE,CCCCC(=O)O,C00761
196,196,CPD-16943,CCC(C)C(=O)O,C17782
197,197,ISOVALERATE,CC(C)CC(=O)O,C07837
198,198,CPD-19875,CC(C)(C)C(=O)O,
199,199,MALONATE,O=C(O)CC(=O)O,C00364
200,200,CPD-3573,COC(=O)C(C)=O,
201,201,CPD-25864,O=C1OCCC1O,
202,202,CPD-10354,CC(=O)C(C)(C)O,
203,203,CPD-19958,CCOC(=O)CC,
204,204,CPD-21404,CC(=CCO)CO,
205,205,CPD-24922,CCC(O)C(C)=O,
206,206,CPD-19088,CC(C)(O)CC=O,
207,207,CPD-19044,CC(C)(C)OC=O,
208,208,CPD-18956,CCCCOC=O,C21589
209,209,CPD-19089,CCC(C)(O)C=O,
210,210,CPD-18998,CCCOC(C)=O,
211,211,CPD-20998,CC(C)(C)CCO,
212,212,CPD-18993,CCCCC(C)O,
213,213,HEXANOL-CMPD,CCCCCCO,
214,214,DIPROPYLETHER,CCCOCCC,
215,215,OH-PYR,O=C(O)C(=O)CO,C00163
216,216,TARTRONATE-S-ALD,O=CC(O)C(=O)O,C01076
217,217,CPD-1843,CC(O)CC(=O)O,C01018
218,218,CPD-12176,CC(CO)C(=O)O,C01117
219,219,CPD-3564,CCC(O)C(=O)O,C05691
220,220,4-HYDROXY-BUTYRATE,O=C(O)CCCO,C00934
221,221,CPD-19014,CC(C)(O)C(=O)O,C21174
222,222,CPD0-2582,O=CCC(O)CO,
223,223,CPD-6485,CC(=O)C(O)CO,
224,224,CPD-3621,COC(=O)C(C)O,
225,225,CPD-19060,CCC(C)(O)CO,
226,226,CPD-19043,CC(C)(C)OCO,
227,227,CPD-12275,CC(O)CC(C)O,
228,228,CPD-19086,CC(O)C(C)(C)O,
229,229,CPD-18952,CCCCOCO,
230,230,CPD-19085,CC(C)(O)CCO,
231,231,CPD-1092,C=Cc1ccccc1,C06761
232,232,CPD-25978,O=C(O)C(O)CO,C00250
233,233,CPD-25336,CC(O)C(O)CO,
234,234,CPD-16716,OCCC(O)CO,
235,235,BENZALDEHYDE,O=Cc1ccccc1,C00187
236,236,ETHYLBENZENE,CCc1ccccc1,C06789
237,237,CPD-1421,Cc1ccccc1C,C06883
238,238,META-XYLENE,Cc1cccc(C)c1,C06879
239,239,CPD-1422,Cc1ccc(C)cc1,C06482
240,240,P-BENZOQUINONE,O=C1C=CC(=O)C=C1,C00444
241,241,CPD-385,O=C1C=CC=CC1=O,C02189
242,242,CPD-12560,Oc1ccccc1O,C00087
243,243,BENZYL-ALCOHOL,OCc1ccccc1,C00528
244,244,CPD-112,Cc1cccc(O)c1,C01358
245,245,CPD-109,Cc1ccccc1O,C01443
246,246,CPD-108,Cc1ccc(O)cc1,C01359
247,247,CPD-14064,O=C1CC2C=CCC12,
248,248,CPD-395,COc1ccccc1,C01301
249,249,CPD-12561,Oc1cccc(O)c1,C01628
250,250,BENZOSEMIQUINONE,Oc1ccc(O)cc1,C00504
251,251,CPD-9734,C=C=CC(=O)C(=O)O,
252,252,CPD-25853,O=C(O)c1ccoc1,
253,253,2-FUROATE,O=C(O)c1ccco1,C01445
254,254,CPD-17693,C#CCCCC(=O)O,
255,255,CPD-3624,CC=CC=CC(=O)O,
256,256,CPD-1831,O=C(O)C#CC(=O)O,C03051
257,257,ITACONIC-ANHYDRIDE,C=C1CC(=O)OC1=O,
258,258,CPD-8825,OC1C=CC=CC1O,C03844
259,259,CYCLOHEXANE-13-DIONE,O=C1CCCC(=O)C1,C01001
260,260,CPD0-1349,O=C1CCCCC1=O,C05801
261,261,CPD-25459,CC1CCCCC1=O,
262,262,CPD-10094,CC12CCCCC1O2,
263,263,CPD-22548,CCCCC=CC=O,
264,264,CPD-25460,CC1CCC(=O)CC1,
265,265,CPD-13322,CCCC=CC(C)=O,
266,266,CPD-23641,CC1CCCC(=O)C1,
267,267,CPD-23213,CC=CCCCCC,
268,268,CPD-6761,C=CC=C(O)C(=O)O,C00561
269,269,CPD-14441,CC=CC(=O)C(=O)O,
270,270,OXOPENTENOATE,C=CCC(=O)C(=O)O,
271,271,CPD-17686,C=CCCCC(=O)O,
272,272,CPD-22117,CCC=CCC(=O)O,
273,273,CPD-21490,CC(C)C=CC(=O)O,
274,274,FUM,O=C(O)C=CC(=O)O,C00119
275,275,CPD-24558,CC1CC(=O)C(=O)O1,
276,276,L-ERYTHRO-ASCORBATE,O=C1C=CC(CO)O1,
277,277,CPD-17104,OC(O)c1ccco1,
278,278,CPD-10204,CC1=C(O)C(=O)CO1,
279,279,CPD-18287,C=C1C(=O)OCC1O,C21093
280,280,CPD-9081,CCCC(=O)C(C)=O,
281,281,CPD-9078,CCC(=O)C(=O)CC,
282,282,CPD-16988,CC=CC(O)C(C)=O,
283,283,3-HYDROXYCYCLOHEXANONE,O=C1CCCC(O)C1,C03033
284,284,CPD-101,O=C1CCCCCO1,C01743
285,285,2-HYDROXYCYCLOHEXAN-1-ONE,O=C1CCCCC1O,C01077
286,286,CPD-15521,CC(=O)CCC(C)=O,
287,287,CPD-23603,CC(=O)C(C)C(C)=O,
288,288,CPD-10086,CC1CCCC(O)C1,
289,289,CPD-10085,CC1CCCCC1O,
290,290,CPD-7620,CCCCCCC=O,C14117
291,291,CPD-148,CCCCCCCC,C01290
292,292,CPD-19039,CC(C)CC(C)(C)C,
293,293,CPD-7705,CCC(=O)CC(=O)O,C02083
294,294,2-KETO-ISOVALERATE,CC(C)C(=O)C(=O)O,C00136
295,295,CPD-16942,CC(=O)CCC(=O)O,
296,296,CPD-280,O=CCCCC(=O)O,C03066
297,297,CPD-3618,CCCC(=O)C(=O)O,C05957
298,298,CPD0-1572,O=C(O)C1CCCO1,
299,299,CPD-7707,CC(=O)C(C)C(=O)O,
300,300,CPD-15866,CCCC(C)C(=O)O,
301,301,HEXANOATE,CCCCCC(=O)O,C01485
302,302,CPD-17493,CC(C)CCC(=O)O,C21276
303,303,CPD-20278,CCC(C)CC(=O)O,
304,304,OXOMALONATE,O=C(O)C(=O)C(=O)O,C00792
305,305,SUC,O=C(O)CCC(=O)O,C00040
306,306,CPD-19606,O=C1CC(O)OC1=O,
307,307,CPD-546,CC(C(=O)O)C(=O)O,C02023
308,308,CPD0-2053,CCOC(=O)C(C)=O,
309,309,TRANS-CYCLOHEXANE-12-DIOL,OC1CCCCC1O,C03506
310,310,CPD-23604,CC(=O)C(C)C(C)O,
311,311,CPD-13346,CCCCOC(C)=O,C12020
312,312,CPD-1132,CCC(=O)C(O)CC,C02757
313,313,CPD-19628,CC(=O)OCC(C)C,
314,314,CPD-12277,OC1CCCC(O)C1,
315,315,CPD-22381,CCCC(=O)OCC,
316,316,CPD-19560,C#Cc1ccc(C)cc1,
317,317,CPD-9057,CCCCCCCO,
318,318,CPD-18994,CCCCCC(C)O,
319,319,CPD0-1310,O=C(O)C(=O)CCO,
320,320,CPD-20942,O=CCC(O)C(=O)O,
321,321,CPD-16618,O=CC(O)CC(=O)O,C21639
322,322,CPD-19090,CCC(C)(O)C(=O)O,
323,323,CPD-12252,CCCC(O)C(=O)O,
324,324,CPD-14642,CC(C)(O)CC(=O)O,C20736
325,325,CPD-25314,CC(C)C(O)C(=O)O,
326,326,5-HYDROXYPENTANOATE,O=C(O)CCCCO,C02617
327,327,CPD-20688,CC(O)CCC(=O)O,
328,328,CPD-12765,CCC(O)CC(=O)O,
329,329,CPD-25844,CC(O)C(C)C(=O)O,
330,330,HYDROXYMALONATE,O=C(O)C(O)C(=O)O,C02128
331,331,CPD-15522,CC(O)CCC(C)O,
332,332,CPD-21424,CC(O)CC(C)(C)O,
333,333,CPD-23568,CCC(O)C(O)CC,
334,334,CPD-25708,O=C(O)C(O)CCO,
335,335,CPD-16714,O=C(O)CC(O)CO,
336,336,ERYTHRULOSE,O=C(CO)C(O)CO,C01875
337,337,CPD-25830,OC1COC(O)CO1,
338,338,ERYTHROSE,O=CC(O)C(O)CO,
339,339,CPD-25337,CCC(O)C(O)CO,
340,340,CPD-8773,Cc1ccc(C=O)cc1,C06484
341,341,CPD-8774,Cc1cccc(C=O)c1,C06880
342,342,PHENYL,CC(=O)c1ccccc1,C06791
343,343,PHENYLACETALDEHYDE,O=CCc1ccccc1,C00565
344,344,CPD-1075,C=Cc1ccc(O)cc1,C05322
345,345,CPD-13773,c1ccc(C2CO2)cc1,C01934
346,346,CPD-20037,CCCc1ccccc1,
347,347,PSEUDOCUMENE,Cc1ccc(C)c(C)c1,C14265
348,348,CPD0-2360,CC(C)c1ccccc1,C14126
349,349,CPD-21839,Cc1cc(C)cc(C)c1,C14240
350,350,BENZOATE,O=C(O)c1ccccc1,C00174
351,351,ERYTHRITOL,OCC(O)C(O)CO,C00480
352,352,3-OH-BENZALDEHYDE,O=Cc1cccc(O)c1,C02882
353,353,SALICYLALDEHYDE,O=Cc1ccccc1O,C05915
354,354,4-HYDROXYBENZALDEHYDE,O=Cc1ccc(O)cc1,C00602
355,355,CPD-7024,O=c1cccccc1O,C15200
356,356,CPD0-1156,CC1=CC(=O)C=CC1=O,
357,357,CPD-16609,Cc1ccc(C)c(O)c1,
358,358,CPD-7035,OCCc1ccccc1,C05585
359,359,CPD-14170,CCc1ccccc1O,C14112
360,360,S-1-PHENYLETHANOL,CC(O)c1ccccc1,C06790
361,361,CPD-10596,CCc1ccc(O)cc1,C12626
362,362,CPD-16608,Cc1cc(C)cc(O)c1,
363,363,CPD-18280,Cc1ccc(O)c(C)c1,C14314
364,364,CPD-10888,Cc1ccc(O)cc1C,
365,365,3-METHYLBENZYL-ALCOHOL,Cc1cccc(CO)c1,C06887
366,366,4-METHYLBENZYL-ALCOHOL,Cc1ccc(CO)cc1,C06483
367,367,HYDROXYBENZOQUINONE,O=C1C=CC(=O)C(O)=C1,C06783
368,368,CPD-14381,O=C(O)C1C=CCC=C1,
369,369,CPD-14382,O=C(O)C1=CCC=CC1,
370,370,CPD-17100,O=Cc1ccc(C=O)o1,C20805
371,371,4-METHYLRESORCINOL,Cc1ccc(O)cc1O,
372,372,4-HYDROXY-BENZYL-ALCOHOL,OCc1ccc(O)cc1,C16842
373,373,ORCINOL-CPD,Cc1cc(O)cc(O)c1,C00691
374,374,CPD-111,Cc1cccc(O)c1O,C02727
375,375,CPD-173,OCc1ccccc1O,C02155
376,376,CPD-16720,Cc1cc(O)ccc1O,
377,377,CPD-400,COc1ccccc1O,C01398
378,378,3-OH-BENZYL-ALCOHOL,OCc1cccc(O)c1,C03125
379,379,CPD-15143,COc1cccc(O)c1,
380,380,4-METHYLCATECHOL,Cc1ccc(O)c(O)c1,C06457
381,381,CPD-6862,Cc1cc(O)cc(=O)o1,C02555
382,382,CPD-9735,C=C1CC1C(=O)C(=O)O,
383,383,CPD-21746,O=C(O)C1=CCCCC1,C11817
384,384,PYROGALLOL,Oc1cccc(O)c1O,C01036
385,385,CPD-16,Oc1cc(O)cc(O)c1,C02033
386,386,CPD-8130,Oc1ccc(O)c(O)c1,C02633
387,387,CPD-11572,O=Cc1ccc(CO)o1,C10839
388,388,CPD-10205,C=C1OC(C)=C(O)C1=O,C20627
389,389,CPD-15508,Cc1occc(=O)c1O,C11644
390,390,CPD-8824,CC1=CC(O)C(O)C=C1,
391,391,TOLUENECISDHDIOL,CC1=CC=CC(O)C1O,C04335
392,392,CPD0-1157,CC1=CC(O)C=CC1O,
393,393,CPD-13321,CCCCC=CC(C)=O,
394,394,CPD-7969,CC(=O)CCC=C(C)C,C06953
395,395,CPD-13323,CCCCCC=CC=O,C21044
396,396,CPD-9165,CCC=CC(=O)C(=O)O,
397,397,CPD-13712,CC=CC=C(O)C(=O)O,C19601
398,398,CPD-22385,C=CCC=C(O)C(=O)O,
399,399,CPD-21076,CCCC(C)=CC(=O)O,
400,400,CPD-21077,CCC=C(C)CC(=O)O,
401,401,CPD-575,O=C(O)C1CCCCC1,C09561
402,402,ITACONATE,C=C(CC(=O)O)C(=O)O,C00466
403,403,GLUTACONATE,O=C(O)C=CCC(=O)O,C02064
404,404,2-METHYLMALEATE,CC(=CC(=O)O)C(=O)O,C01610
405,405,CPD-11573,OCc1ccc(CO)o1,C20351
406,406,CPD-23998,CC1=C(O)C(=O)OC1C,
407,407,CPD-20129,CC1=C(O)C(=O)C(C)O1,C20626
408,408,CPD-15812,CC1OC(O)C=CC1=O,
409,409,2-DEHYDROPANTOYL-LACTONE,CC1(C)COC(=O)C1=O,C01058
410,410,CPD-10211,Cc1oc(C)c(O)c1O,
411,411,CPD-17,O=C1C=C(O)CC(O)C1,C06443
412,412,CPD0-1604,C#CC(O)C(=O)OCC,
413,413,CPD-12975,CCC(=O)CC(=O)CC,
414,414,CPD-9080,CCCCC(=O)C(C)=O,
415,415,CPD-16991,CC(=O)CC(C)C(C)=O,
416,416,NAPHTHALENE,c1ccc2ccccc2c1,C00791
417,417,CPD-371,CCCCCCCC=O,C01444
418,418,CPD-18988,CCCCCCC(C)=O,
419,419,CPD-21772,CCCCC(C=O)CC,
420,420,CPD-8169,CC(C)=CCCC(C)O,C06954
421,421,CPD-10087,CCC1CCCCC1O,
