,cpd_id,SMILES
57,C313abe5cf8f341fc1f5922109d6813f0615c7201,CC(=O)C(CO)C(=O)CC(=O)C(=O)O
58,C361b380a23f445e84617afa72e7640099d85d57c,CC(=O)C(CO)C(=O)CC(=O)O
59,Cd701427993a4f5c32c3d11b4a29e0cf9b9bac1cc,CC(=O)C(CO)C(=O)O
60,C7069c134f2886af57b989768fcd517549089eceb,CC(=O)C(CO)CC(=O)C(=O)O
61,Cda4ae89d9901d5b0100e1a69989921e97aa28c5d,CC(=O)C(CO)CC(=O)O
62,C7f98b597858afa761240b3332fa776abcdccd3d3,CC(=O)C(CO)CCC(=O)O
63,C793bd42adbbfdc1c518940339f5943a2fa9bf8ea,CC(=O)C(COCCO)C(=O)O
64,C87db371f4fe23f8a401961bff4a8478eaf1ef04c,CC(=O)C(O)C(=O)C(=O)C(=O)O
65,C8a0640969ba8079b483bd8a49137354a348d8866,CC(=O)C(O)C(=O)C(=O)O
66,C59bcbdac35af3157000b68753922b76f65b50547,CC(=O)C(O)C(=O)CC(=O)C(=O)O
67,C90ce1867a5770324f048afac3887398b98759757,CC(=O)C(O)C(=O)CC(=O)O
68,C8b78c5007ef11878aa9fa2d19410f2def2ecc727,CC(=O)C(O)C(=O)CCC(=O)O
69,C89ef5ec5d135497abd8180bec7b6dfb0791a61d5,CC(=O)C(O)C(=O)O
70,C46b0fb2ff8b731a86723539bbb2975309f8c6ae4,CC(=O)C(O)CC(=O)C(=O)C(=O)O
71,C844b7bb7c96984f5041309033805d34ce0c312d4,CC(=O)C(O)CC(=O)C(=O)O
72,C29daec09ce74dda00960a137b11ce2dd2f230330,CC(=O)C(O)CC(=O)O
73,C6fedf2a0a5b10db4461996362b053f3987281f56,CC(=O)C(O)CCC(=O)C(=O)O
74,C68c7b16a5919101b943b570abebd4099159a6931,CC(=O)C(O)CCC(=O)O
75,Cc659e7c16ae7e4a9fe77e8f40408288659a7363a,CC(=O)C(O)CCCCC(=O)O
76,C7234414df84c041610fec49dd9db37002be237d1,CC(=O)C(O)CCCCCC(=O)C(=O)O
77,C2aadd1240bc710905fd85cbf278cb2c4aefdd73d,CC(=O)C(O)CCCCCC(=O)O
78,Cb2ad9f68b41da3053aeb018523145cb5e49bdd6b,CC(=O)C(O)OCCC(=O)O
79,C59f3d8993bff4ecf3dab267eef80d3d9d9628add,CC(=O)C(OCCO)(C(=O)O)c1ccccc1
80,C2c3825d3c1a9d1f6b78046e821307332b843f116,CC(=O)C(OCCO)C(=O)O
81,Ca5a0d7f3d3aebe8d45791fa0cb9a049d88ec158a,CC(=O)C1(OC(O)CC(=O)O)CCCCC1
82,Cc0a3dd9b9e982a35f676bd8aa7b768a67d9a5b9d,CC(=O)CC(=O)C(CC(=O)O)OCCO
83,C05824166e44d67080d45881b0bc8e3e5c8bea2cd,CC(=O)CC(=O)C(CO)C(=O)C(=O)O
84,Ca61a7158ed8805b2f90a528118caecbd4914ac90,CC(=O)CC(=O)C(CO)C(=O)O
85,Ceeeed2b6e0a51b71050a63a1dfefaff3ed6eada3,CC(=O)CC(=O)C(O)C(=O)C(=O)O
86,C111c2a381919e8700d3bbb3408372b2cdf9e51b6,CC(=O)CC(=O)C(O)C(=O)O
87,C6a00a84d6757a70044e72bee4bd96266d3d6d601,CC(=O)CC(=O)C(O)CC(=O)O
88,C34f2bd352f60109503953c74bb37c5e1c64fc4a4,CC(=O)CC(=O)CC(=O)C(O)C(=O)O
89,C65b55da5984f798df38c80e950a8b4e7536bc7d1,CC(=O)CC(=O)CC(O)C(=O)C(=O)O
90,Cd52968124b9a40369cf7e5b7ff33029142fd779a,CC(=O)CC(=O)CC(O)C(=O)O
91,C5eb5a68e0b4d5e9ad1cd17a77a4af3fb70a569fb,CC(=O)CC(=O)CC(O)CC(=O)O
92,Cb609a7530ede47e8ee359ee93ecac45bdcdd0830,CC(=O)CC(=O)CC(OCCO)C(=O)O
93,Cd174fe2d35a7bae52c2a435dad864132c2c76be2,CC(=O)CC(C)(C)CC(=O)C(O)CC(=O)O
94,C7eeae1dc7771523f5c5ad58b18f5c1da7de806c2,CC(=O)CC(C)(OCCO)C(=O)O
95,C155a0fe9fc18476da13f741cbeb3201d648321a9,CC(=O)CC(CC(=O)C(=O)O)OCCO
96,C7a28bc68bf2fff2ff368936303fb00a053dafedc,CC(=O)CC(CC(=O)O)OCCO
97,C77224ff97d1b1c8fa6c188824cfbfb159b792197,CC(=O)CC(CCCCCO)C(=O)O
98,Cfc2dcb70fc30a92a436b04e1aa5096a8798ad86e,CC(=O)CC(CCCO)C(=O)O
